,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
142,16,Troy Bell,Boston College,-0.326,2003.0,122,122.0,6.2,14.7,0.424,3.8,8.1,0.467,2.5,6.6,0.372,6.6,7.6,0.868,4.0,3.5,2.2,0.3,2.9,2.3,21.6,5.85
143,18,David West,Xavier,0.141,2003.0,126,126.0,5.8,10.8,0.531,5.6,10.4,0.54,0.1,0.4,0.327,5.3,6.9,0.757,10.4,2.1,1.4,1.8,2.5,2.8,16.9,4.18
144,20,Dahntay Jones,Duke,0.048,2003.0,68,62.0,5.2,10.6,0.485,4.3,8.1,0.527,0.9,2.5,0.347,3.1,4.3,0.74,4.8,1.0,1.0,0.5,1.8,3.0,14.3,
145,24,Brian Cook,Illinois,0.086,2003.0,132,116.0,4.8,9.4,0.51,4.1,7.3,0.558,0.7,2.1,0.339,2.9,3.7,0.793,6.2,1.3,0.7,1.0,2.0,3.0,13.2,9.42
146,29,Josh Howard,Wake Forest,0.119,2003.0,127,119.0,5.1,10.5,0.483,4.2,8.1,0.522,0.9,2.4,0.353,2.9,4.0,0.708,6.6,1.9,1.7,1.1,2.2,2.9,13.9,9.17
147,31,Jason Kapono,UCLA,0.055,2003.0,127,126.0,5.5,11.7,0.469,3.0,6.1,0.489,2.5,5.6,0.446,3.0,3.6,0.83,5.1,2.1,0.9,0.1,2.3,2.3,16.5,10.68
148,32,Luke Walton,Arizona,0.067,2003.0,129,84.0,3.3,7.6,0.426,2.8,5.9,0.47,0.5,1.8,0.284,2.1,3.1,0.685,5.1,4.5,1.2,0.4,2.6,1.8,9.1,10.92
149,36,Mario Austin,Mississippi State,,2003.0,91,64.0,5.0,9.5,0.531,5.0,9.3,0.534,0.1,0.2,0.353,3.1,4.6,0.66,6.3,1.1,0.7,0.6,2.0,2.0,13.2,8.03
150,37,Travis Hansen,BYU,0.019,2003.0,86,71.0,4.3,9.8,0.434,3.4,7.4,0.455,0.9,2.4,0.369,3.8,4.9,0.774,4.8,1.7,0.7,0.4,2.0,2.8,13.2,4.71
151,38,Steve Blake,Maryland,0.067,2003.0,138,136.0,2.7,6.8,0.401,1.4,3.3,0.423,1.3,3.5,0.381,1.5,2.0,0.771,3.4,7.0,1.7,0.3,3.3,2.1,8.3,9.34
152,40,Derrick Zimmerman,Mississippi State,0.004,2003.0,127,71.0,2.5,5.2,0.477,2.2,4.1,0.533,0.3,1.1,0.268,1.6,2.6,0.6,3.3,4.0,1.6,0.7,2.6,2.1,6.9,7.35
153,41,Willie Green,Detroit Mercy,0.042,2003.0,124,119.0,5.2,11.4,0.461,4.3,8.6,0.495,1.0,2.8,0.352,2.9,3.8,0.757,4.2,2.2,0.9,0.3,2.0,2.3,14.3,0.88
154,43,Keith Bogans,Kentucky,0.068,2003.0,135,122.0,5.0,11.4,0.437,3.1,5.9,0.527,1.9,5.5,0.342,2.4,3.5,0.688,4.1,2.3,1.1,0.1,2.3,2.0,14.2,11.29
155,45,Matt Bonner,Florida,0.138,2003.0,131,81.0,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,5.9,1.2,0.7,0.5,1.3,2.0,12.0,8.04
156,47,Mo Williams,Alabama,0.08,2003.0,64,64.0,4.4,10.9,0.405,3.0,6.1,0.492,1.4,4.8,0.294,2.8,3.4,0.847,3.9,4.2,1.5,0.1,3.0,2.4,13.1,8.54
157,49,James Jones,Miami (FL),0.109,2003.0,122,88.0,3.8,8.9,0.426,2.8,6.3,0.444,1.0,2.7,0.383,2.5,3.0,0.831,5.0,1.2,1.1,1.6,1.5,2.1,11.1,5.19
158,51,Kyle Korver,Creighton,0.113,2003.0,128,95.0,4.4,9.3,0.472,1.5,2.9,0.515,2.9,6.4,0.453,2.4,2.7,0.891,5.2,2.3,1.3,0.5,1.8,2.3,14.1,1.77
159,53,Tommy Smith,Arizona State,,2003.0,122,71.0,3.6,7.3,0.5,3.5,6.8,0.513,0.1,0.5,0.31,1.8,3.0,0.593,4.8,1.7,1.0,1.4,2.5,3.5,9.2,8.45
160,55,Rick Rickert,Minnesota,,2003.0,63,62.0,5.4,11.5,0.469,4.1,7.9,0.518,1.3,3.6,0.361,2.8,4.0,0.693,5.7,1.3,0.7,1.0,2.0,2.8,14.9,6.88
161,56,Brandon Hunter,Ohio University,0.055,2003.0,119,119.0,5.9,11.6,0.51,5.6,10.7,0.525,0.3,1.0,0.339,4.7,7.8,0.608,9.3,2.1,0.8,0.7,3.4,2.6,16.9,1.81
162,2,Emeka Okafor,UConn,0.114,2004.0,103,103.0,5.7,9.7,0.59,5.7,9.7,0.59,0.0,0.0,,2.4,4.3,0.564,10.6,0.8,0.9,4.3,2.0,2.6,13.8,7.66
163,3,Ben Gordon,UConn,0.078,2004.0,106,74.0,5.6,12.7,0.44,3.2,7.2,0.452,2.3,5.5,0.423,3.5,4.4,0.795,3.9,4.1,1.2,0.2,2.8,2.3,16.9,7.66
164,5,Devin Harris,Wisconsin,0.11,2004.0,96,96.0,4.6,10.2,0.447,2.6,5.0,0.522,1.9,5.2,0.375,3.8,4.8,0.778,4.1,3.1,1.7,0.4,1.8,2.1,14.8,7.74
165,6,Josh Childress,Stanford,0.118,2004.0,86,57.0,4.5,10.2,0.438,3.3,6.6,0.494,1.2,3.6,0.335,2.2,2.8,0.755,6.8,1.8,0.9,1.1,1.7,2.1,12.3,7.25
166,7,Luol Deng,Duke,0.115,2004.0,37,32.0,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3.0,0.36,2.6,3.7,0.71,6.9,1.8,1.3,1.1,2.2,2.2,15.1,10.86
167,8,Rafael Araújo,BYU,-0.013,2004.0,62,62.0,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.8
168,9,Andre Iguodala,Arizona,0.122,2004.0,62,34.0,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.274,2.5,3.3,0.738,6.6,3.4,1.5,0.5,2.1,2.2,9.6,7.79
169,10,Luke Jackson,Oregon,0.01,2004.0,126,102.0,5.1,11.1,0.461,3.7,7.7,0.488,1.4,3.4,0.402,4.0,4.7,0.849,5.9,3.4,1.3,0.3,2.3,1.8,15.6,6.96
170,14,Kris Humphries,Minnesota,0.102,2004.0,29,28.0,7.6,17.2,0.444,7.0,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,10.1,0.7,0.9,1.1,2.8,2.2,21.7,5.36
171,16,Kirk Snyder,Nevada,0.061,2004.0,84,74.0,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.31,4.1,6.0,0.677,6.4,2.7,0.9,0.8,3.1,2.4,16.7,3.25
173,20,Jameer Nelson,Saint Joseph's,0.094,2004.0,125,125.0,5.6,12.4,0.454,3.8,7.4,0.514,1.8,5.0,0.365,3.7,4.7,0.786,4.6,5.7,2.0,0.1,3.0,2.2,16.8,4.12
174,24,Delonte West,Saint Joseph's,0.099,2004.0,89,56.0,5.1,10.3,0.489,3.8,7.0,0.544,1.3,3.4,0.377,2.5,3.0,0.831,4.2,3.0,1.4,0.2,2.0,1.9,13.9,4.0
175,25,Tony Allen,Oklahoma State,0.103,2004.0,67,62.0,5.5,11.5,0.477,4.7,9.3,0.508,0.8,2.2,0.347,3.5,5.2,0.682,5.5,2.9,2.0,0.8,2.8,2.9,15.3,7.84
176,26,Kevin Martin,Western Carolina University,0.137,2004.0,79,77.0,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.346,6.8,8.0,0.841,4.5,1.7,1.7,0.4,2.9,2.1,23.3,-3.74
177,29,David Harrison,Colorado,0.057,2004.0,88,82.0,5.6,9.2,0.601,5.6,9.2,0.602,0.0,0.0,0.0,3.9,7.0,0.553,8.0,0.6,0.6,2.6,2.4,3.4,15.0,6.73
178,31,Jackson Vroman,Iowa State,0.001,2004.0,63,62.0,5.4,9.7,0.558,5.4,9.5,0.569,0.0,0.2,0.077,2.4,4.7,0.512,9.5,2.1,1.2,1.1,2.8,3.6,13.2,7.06
179,33,Lionel Chalmers,Xavier,-0.025,2004.0,123,99.0,4.2,9.8,0.425,2.3,4.7,0.483,1.9,5.1,0.372,2.4,3.4,0.716,2.9,3.3,1.3,0.1,2.7,2.2,12.7,4.79
180,35,Andre Emmett,Texas Tech,0.04,2004.0,128,97.0,6.9,13.8,0.5,6.5,12.4,0.52,0.4,1.4,0.312,3.4,4.9,0.703,6.0,1.6,1.3,0.3,1.9,1.3,17.6,7.3
181,36,Antonio Burks,Memphis,0.004,2004.0,91,80.0,4.3,9.2,0.469,3.6,7.4,0.484,0.7,1.7,0.401,2.0,3.0,0.673,2.6,5.4,1.9,0.2,2.3,2.3,11.3,5.32
182,37,Royal Ivey,Texas,0.035,2004.0,133,126.0,2.8,6.1,0.455,2.4,4.9,0.483,0.4,1.2,0.338,1.9,2.6,0.709,3.1,2.3,0.9,0.2,1.5,2.7,7.8,9.14
183,38,Chris Duhon,Duke,0.077,2004.0,144,113.0,3.0,7.2,0.418,1.9,3.7,0.511,1.1,3.5,0.321,1.7,2.4,0.693,3.4,5.7,2.1,0.1,2.5,1.9,8.8,10.09
184,40,Justin Reed,Ole Miss,0.016,2004.0,122,114.0,5.6,11.7,0.476,5.2,10.4,0.5,0.4,1.3,0.285,3.1,4.4,0.707,6.3,1.1,1.0,0.7,2.4,3.2,14.6,7.18
185,41,David Young,NC Central,,2004.0,97,49.0,2.7,6.5,0.412,1.3,2.4,0.53,1.4,4.1,0.343,0.9,1.3,0.728,2.1,3.4,1.2,0.4,2.0,2.2,7.7,7.57
186,43,Trevor Ariza,UCLA,0.094,2004.0,25,23.0,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.237,2.3,4.5,0.504,6.5,2.1,1.7,0.4,3.2,2.8,11.6,6.82
187,44,Tim Pickett,Florida State,,2004.0,62,62.0,5.7,13.9,0.408,2.5,5.4,0.473,3.1,8.5,0.367,2.3,2.8,0.814,5.1,2.1,2.6,0.4,2.3,2.7,16.7,8.03
188,45,Bernard Robinson,Michigan,0.049,2004.0,120,104.0,4.6,10.4,0.44,4.0,8.5,0.472,0.6,1.9,0.297,2.8,3.4,0.814,5.3,3.0,1.4,0.4,2.9,2.5,12.5,8.41
189,47,Pape Sow,Cal State Fullerton,0.044,2004.0,72,70.0,5.3,11.3,0.468,5.0,10.4,0.484,0.3,0.9,0.294,4.9,7.3,0.667,9.1,0.8,1.4,0.8,2.6,3.6,15.8,-1.62
190,48,Ricky Minard,Morehead State University,,2004.0,114,112.0,7.2,14.7,0.488,5.2,9.3,0.554,2.0,5.3,0.372,4.6,5.8,0.796,6.4,3.7,2.1,0.6,3.0,2.8,20.9,-3.55
191,51,Christian Drejer,Florida,,2004.0,38,20.0,2.4,5.3,0.455,1.7,3.4,0.5,0.7,1.9,0.378,1.5,1.9,0.767,3.3,3.2,0.7,0.2,1.7,2.2,7.1,8.47
192,52,Romain Sato,Xavier,,2004.0,130,130.0,4.8,11.5,0.417,2.4,5.0,0.481,2.4,6.4,0.367,3.5,4.5,0.776,6.9,2.0,1.0,0.3,1.6,2.4,15.4,4.79
193,53,Matt Freije,Vanderbilt,-0.047,2004.0,121,111.0,5.2,11.7,0.448,3.7,7.4,0.501,1.5,4.3,0.355,3.7,4.7,0.786,4.9,0.9,0.7,0.6,1.4,2.2,15.6,8.37
194,54,Rickey Paulding,Missouri,,2004.0,131,94.0,4.4,10.0,0.444,3.0,6.0,0.494,1.5,4.0,0.367,2.5,3.2,0.763,4.0,1.8,0.8,0.4,2.1,1.8,12.8,8.8
195,55,Luis Flores,Manhattan College,-0.02,2004.0,90,89.0,7.2,15.9,0.45,5.4,11.2,0.477,1.8,4.7,0.386,6.6,7.5,0.88,4.5,2.3,1.8,0.2,3.0,2.5,22.7,
196,56,Marcus Douthit,Providence,,2004.0,122,61.0,2.3,5.2,0.438,2.3,5.2,0.439,0.0,0.0,0.0,1.3,1.9,0.7,4.6,1.5,0.9,2.4,2.3,2.8,5.9,6.51
197,58,Blake Stepp,Gonzaga,,2004.0,128,126.0,3.9,9.3,0.417,1.6,3.4,0.478,2.3,5.9,0.381,3.0,3.7,0.813,3.9,5.0,1.2,0.1,2.7,1.7,13.0,2.05
198,59,Rashad Wright,Georgia,,2004.0,119,110.0,2.9,7.2,0.402,1.9,4.2,0.446,1.0,3.0,0.341,2.2,3.1,0.684,2.7,4.1,1.4,0.3,2.1,2.0,8.9,10.36
199,1,Andrew Bogut,Utah,0.122,2005.0,68,68.0,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53
200,2,Marvin Williams,UNC,0.104,2005.0,36,0.0,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.432,3.8,4.5,0.847,6.6,0.7,1.1,0.5,1.6,2.6,11.3,10.66
201,3,Deron Williams,Illinois,0.129,2005.0,101,98.0,4.0,9.4,0.422,2.3,5.1,0.464,1.6,4.3,0.374,1.5,2.1,0.685,3.3,5.9,1.1,0.2,2.4,2.2,11.0,7.44
202,4,Chris Paul,Wake Forest,0.236,2005.0,63,62.0,4.4,9.3,0.472,3.0,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,3.9,6.3,2.5,0.2,2.7,2.6,15.0,10.65
203,5,Raymond Felton,UNC,0.067,2005.0,101,100.0,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11.0
204,7,Charlie Villanueva,UConn,0.08,2005.0,63,35.0,4.3,8.3,0.518,3.9,7.4,0.534,0.4,1.0,0.393,2.2,3.2,0.681,6.7,1.0,0.4,1.7,1.7,2.2,11.2,7.7
205,8,Channing Frye,Arizona,0.094,2005.0,133,119.0,5.3,9.5,0.562,5.3,9.3,0.568,0.0,0.2,0.261,2.8,3.7,0.759,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02
206,9,Ike Diogu,Arizona State,0.112,2005.0,91,91.0,6.8,11.9,0.571,6.3,10.7,0.591,0.5,1.2,0.387,7.4,9.4,0.786,8.8,1.2,0.4,1.7,3.4,2.8,21.4,6.66
207,13,Sean May,UNC,0.068,2005.0,77,75.0,5.7,11.2,0.513,5.7,11.1,0.519,0.0,0.1,0.0,4.3,6.0,0.717,10.0,1.5,1.3,1.2,2.4,2.4,15.8,11.0
208,14,Rashad McCants,UNC,0.035,2005.0,98,90.0,6.3,12.9,0.486,4.0,7.4,0.538,2.3,5.4,0.415,2.8,3.8,0.721,4.1,2.1,1.5,0.6,2.2,2.4,17.6,11.0
209,15,Antoine Wright,Texas A&M,0.026,2005.0,87,83.0,5.4,13.0,0.412,3.3,7.5,0.439,2.1,5.5,0.376,2.6,4.0,0.648,5.6,2.1,1.1,0.6,2.3,2.6,15.4,5.15
210,16,Joey Graham,Oklahoma State,0.061,2005.0,68,60.0,5.5,10.0,0.549,4.9,8.7,0.56,0.6,1.2,0.476,3.5,4.2,0.819,5.7,1.6,0.8,0.2,2.4,3.1,15.0,
211,17,Danny Granger,New Mexico,0.126,2005.0,52,52.0,6.1,12.0,0.51,4.8,8.7,0.556,1.3,3.4,0.392,5.5,7.3,0.757,8.9,2.3,1.8,1.8,2.5,2.7,19.1,
212,19,Hakim Warrick,Syracuse,0.092,2005.0,135,119.0,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0.25,3.9,5.9,0.659,7.6,1.5,1.0,0.9,2.3,2.4,15.4,7.34
213,20,Julius Hodge,NC State,0.003,2005.0,129,125.0,5.2,10.9,0.473,4.3,8.2,0.52,0.9,2.7,0.329,4.6,6.1,0.76,6.0,3.5,1.2,0.6,2.6,2.5,15.8,8.87
214,21,Nate Robinson,Washington,0.096,2005.0,89,66.0,5.0,11.0,0.457,3.6,6.9,0.523,1.4,4.1,0.348,3.0,3.7,0.793,3.9,3.2,1.6,0.1,2.0,2.6,14.4,7.12
215,22,Jarrett Jack,Georgia Tech,0.073,2005.0,101,100.0,4.0,8.4,0.478,3.1,5.9,0.53,0.9,2.6,0.359,3.6,4.5,0.796,4.5,5.4,1.8,0.1,3.3,2.0,12.5,9.64
216,23,Francisco García,Louisville,0.074,2005.0,98,80.0,4.7,10.5,0.448,2.9,5.5,0.519,1.8,5.0,0.369,3.2,3.7,0.849,3.9,3.5,1.5,1.4,2.4,2.7,14.4,6.66
217,24,Luther Head,Illinois,0.09,2005.0,128,84.0,3.5,7.5,0.473,1.9,3.2,0.594,1.6,4.3,0.382,1.4,1.9,0.752,3.1,2.5,1.2,0.2,1.5,1.5,10.1,8.07
218,26,Jason Maxiell,Cincinnati,0.086,2005.0,129,95.0,4.4,8.6,0.507,4.3,8.5,0.509,0.0,0.1,0.286,3.4,5.2,0.653,7.0,0.7,0.7,1.9,1.5,2.6,12.1,6.81
219,27,Linas Kleiza,Missouri,0.08,2005.0,49,28.0,4.7,11.3,0.413,3.9,8.6,0.453,0.8,2.8,0.287,4.3,6.1,0.707,7.9,1.3,0.6,0.3,2.4,2.9,14.4,9.14
220,29,Wayne Simien,Kansas,0.083,2005.0,106,69.0,5.5,9.9,0.558,5.5,9.7,0.566,0.1,0.2,0.24,3.9,5.0,0.784,8.3,0.9,0.7,0.7,1.7,2.3,15.0,10.04
221,32,Daniel Ewing,Duke,0.024,2005.0,138,79.0,3.9,9.0,0.432,2.3,5.0,0.464,1.6,4.0,0.392,2.2,2.9,0.746,2.8,2.1,1.4,0.2,1.9,2.6,11.6,9.61
222,33,Brandon Bass,LSU,0.125,2005.0,59,58.0,5.1,9.5,0.54,4.8,8.7,0.554,0.3,0.8,0.378,4.6,5.8,0.78,8.2,0.7,0.8,1.8,1.8,2.2,15.1,7.18
223,37,Ronny Turiaf,Gonzaga,0.115,2005.0,127,73.0,4.2,8.2,0.518,4.2,8.0,0.524,0.0,0.1,0.222,5.1,7.1,0.715,6.8,1.0,0.5,1.4,2.1,2.9,13.6,3.06
224,38,Travis Diener,Marquette,0.102,2005.0,120,89.0,4.3,10.2,0.416,1.9,4.5,0.42,2.4,5.7,0.413,3.2,3.8,0.837,3.1,5.1,1.3,0.1,1.9,2.1,14.1,5.22
225,39,Von Wafer,Florida State,0.064,2005.0,61,22.0,3.5,8.7,0.405,1.7,3.8,0.457,1.8,4.9,0.365,1.3,1.9,0.669,2.2,1.4,0.9,0.2,1.4,1.4,10.1,8.65
226,42,Chris Taft,Pitt,0.155,2005.0,65,53.0,4.9,8.7,0.569,4.9,8.7,0.569,0.0,0.0,,2.1,3.7,0.564,7.5,1.1,0.4,1.7,1.4,1.5,12.0,6.11
229,47,Bracey Wright,Indiana,0.068,2005.0,85,85.0,5.5,13.6,0.405,3.3,7.4,0.451,2.2,6.3,0.35,4.4,5.7,0.776,5.1,2.4,0.9,0.6,2.3,1.8,17.6,9.26
230,50,Ryan Gomes,Providence,0.069,2005.0,116,115.0,6.8,13.0,0.519,6.1,11.0,0.549,0.7,2.0,0.352,4.2,5.3,0.789,8.9,2.3,1.6,0.4,2.3,2.1,18.4,7.37
231,51,Robert Whaley,Walsh University,0.004,2005.0,22,3.0,2.2,6.3,0.348,2.2,6.2,0.35,0.0,0.0,0.0,1.4,2.1,0.66,2.5,0.6,0.3,0.4,1.1,2.1,5.8,6.28
232,53,Orien Greene,Louisiana,-0.022,2005.0,42,26.0,3.8,9.2,0.413,2.3,4.7,0.485,1.5,4.5,0.339,2.0,2.7,0.737,4.6,3.6,2.6,0.3,2.9,3.1,11.1,
233,54,Dijon Thompson,UCLA,0.102,2005.0,117,72.0,4.6,10.0,0.464,3.5,6.8,0.51,1.1,3.1,0.362,2.1,2.7,0.781,4.7,2.0,1.1,0.3,2.4,1.8,12.5,8.61
234,55,Lawrence Roberts,Mississippi State,0.106,2005.0,62,62.0,5.6,11.6,0.481,5.2,10.3,0.505,0.4,1.3,0.296,5.4,8.3,0.645,10.5,1.6,1.5,0.7,2.6,2.2,16.9,
236,60,Alex Acker,Pepperdine,-0.043,2005.0,88,80.0,5.1,11.2,0.457,3.7,7.9,0.476,1.4,3.3,0.411,2.9,3.5,0.823,5.6,2.8,1.5,0.4,2.6,1.9,14.5,1.8
237,2,LaMarcus Aldridge,Texas,0.153,2006.0,53,53.0,5.2,8.9,0.586,5.2,8.9,0.586,0.0,0.0,,3.0,4.7,0.649,8.2,0.6,1.3,1.8,1.6,2.7,13.5,7.28
238,3,Adam Morrison,Gonzaga,-0.021,2006.0,95,62.0,7.0,14.0,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.761,5.1,2.0,0.7,0.4,1.7,1.7,19.7,4.23
239,4,Tyrus Thomas,LSU,0.078,2006.0,32,21.0,4.8,7.8,0.608,4.7,7.8,0.606,0.0,0.0,1.0,2.8,4.3,0.657,9.2,1.3,1.0,3.1,1.8,2.6,12.3,8.77
240,5,Shelden Williams,Duke,0.085,2006.0,139,128.0,4.9,8.6,0.572,4.9,8.6,0.574,0.0,0.1,0.333,4.0,5.7,0.694,9.1,0.9,1.2,3.0,2.3,3.1,13.9,9.51
241,6,Brandon Roy,Washington,0.155,2006.0,103,71.0,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,5.0,3.0,1.0,0.5,2.1,2.1,14.3,6.83
242,7,Randy Foye,Villanova,0.058,2006.0,131,128.0,5.2,13.1,0.399,3.6,8.1,0.441,1.6,4.9,0.329,3.0,3.8,0.781,4.8,3.2,1.5,0.4,2.9,2.7,15.0,8.37
243,8,Rudy Gay,UConn,0.085,2006.0,64,59.0,5.0,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.378,2.8,3.8,0.721,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.1
244,12,Hilton Armstrong,UConn,0.055,2006.0,131,56.0,1.7,3.1,0.563,1.7,3.1,0.565,0.0,0.0,0.333,1.2,2.1,0.578,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.4
245,14,Ronnie Brewer,Arkansas,0.127,2006.0,90,88.0,5.5,11.9,0.462,4.3,8.5,0.511,1.2,3.4,0.34,3.6,5.4,0.671,5.0,3.3,2.4,0.5,2.3,1.7,15.7,5.35
246,15,Cedric Simmons,NC State,0.005,2006.0,63,33.0,2.7,4.8,0.565,2.7,4.7,0.566,0.0,0.1,0.5,2.3,3.5,0.652,4.1,1.1,0.4,1.8,1.3,2.5,7.7,7.39
247,16,Rodney Carney,Memphis,0.064,2006.0,133,101.0,5.0,11.9,0.415,2.8,6.0,0.468,2.2,6.0,0.362,2.2,3.1,0.717,4.9,1.2,1.0,1.0,1.4,2.1,14.3,5.22
248,17,Shawne Williams,Memphis,0.06,2006.0,36,34.0,4.3,10.4,0.416,3.0,6.1,0.489,1.3,4.3,0.312,3.2,4.0,0.786,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24
249,19,Quincy Douby,Rutgers University,0.0,2006.0,95,64.0,6.1,14.1,0.432,3.5,7.3,0.473,2.6,6.8,0.389,2.9,3.6,0.82,2.9,2.7,1.3,0.7,2.2,1.8,17.8,6.93
250,20,Renaldo Balkman,South Carolina,0.113,2006.0,104,40.0,3.0,5.5,0.553,2.9,5.0,0.581,0.2,0.5,0.291,1.2,2.2,0.533,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11
251,21,Rajon Rondo,Kentucky,0.104,2006.0,68,62.0,3.7,7.4,0.493,3.3,6.0,0.544,0.4,1.5,0.283,1.9,3.3,0.577,4.5,4.2,2.3,0.2,2.2,2.0,9.6,8.49
252,23,Josh Boone,UConn,0.097,2006.0,103,100.0,3.7,6.4,0.578,3.7,6.4,0.578,0.0,0.0,,1.9,3.4,0.559,7.0,0.8,0.5,2.2,1.3,1.9,9.3,7.32
253,24,Kyle Lowry,Villanova,0.151,2006.0,57,34.0,3.2,7.1,0.449,2.9,6.4,0.463,0.2,0.7,0.325,2.9,4.0,0.737,3.8,3.0,1.9,0.2,1.9,2.6,9.5,8.83
254,25,Shannon Brown,Michigan State,0.06,2006.0,97,89.0,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3.0,0.831,3.4,1.9,1.3,0.1,2.0,1.9,12.2,7.69
255,26,Jordan Farmar,UCLA,0.068,2006.0,66,66.0,4.4,10.8,0.41,3.0,6.4,0.463,1.5,4.4,0.333,3.0,4.0,0.76,3.0,5.2,1.2,0.2,3.8,2.1,13.3,7.67
256,28,Maurice Ager,Michigan State,-0.089,2006.0,124,73.0,4.2,9.6,0.441,2.6,5.3,0.492,1.6,4.3,0.38,2.5,3.2,0.775,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.2
257,29,Mardy Collins,Temple,-0.027,2006.0,125,124.0,5.7,14.4,0.399,4.3,9.4,0.457,1.5,5.0,0.292,2.4,3.9,0.624,4.6,3.2,2.3,0.2,2.0,2.3,15.4,5.33
258,31,James White,Cincinnati,0.062,2006.0,93,85.0,3.8,8.5,0.45,2.8,5.4,0.508,1.1,3.1,0.347,2.9,3.6,0.818,4.7,2.8,1.0,0.6,2.2,2.3,11.7,
259,32,Steve Novak,Marquette,0.123,2006.0,126,89.0,3.8,8.4,0.456,1.0,2.3,0.443,2.8,6.1,0.461,1.9,2.1,0.931,4.2,1.0,0.5,0.1,1.1,2.0,12.4,6.06
260,33,Solomon Jones,South Florida,0.078,2006.0,59,56.0,3.7,7.3,0.505,3.7,7.2,0.507,0.0,0.0,0.0,2.5,3.6,0.693,8.0,1.0,0.6,2.6,2.7,3.4,9.8,3.34
261,34,Paul Davis,Michigan State,0.035,2006.0,130,97.0,4.7,8.8,0.538,4.6,8.4,0.549,0.1,0.4,0.271,3.7,4.8,0.763,7.0,1.4,1.1,0.7,2.1,2.6,13.2,8.2
262,36,Craig Smith,Boston College,0.113,2006.0,130,127.0,7.1,12.7,0.558,7.0,12.2,0.572,0.1,0.5,0.239,3.8,5.9,0.643,8.6,1.9,1.3,0.8,2.3,2.9,18.1,6.73
263,39,David Noel,UNC,0.024,2006.0,127,51.0,2.7,5.2,0.532,2.2,3.7,0.6,0.5,1.4,0.354,0.9,1.6,0.587,4.3,1.9,1.1,0.5,1.7,2.0,6.9,10.19
264,40,Denham Brown,UConn,,2006.0,135,96.0,3.4,7.9,0.429,2.5,5.3,0.466,0.9,2.7,0.354,1.6,2.1,0.776,3.9,1.3,0.7,0.2,1.5,1.5,9.4,7.4
265,41,James Augustine,Illinois,0.101,2006.0,137,134.0,3.9,6.3,0.617,3.9,6.2,0.623,0.0,0.1,0.333,2.3,3.3,0.687,7.5,1.1,1.0,1.0,1.5,2.6,10.1,7.15
266,42,Daniel Gibson,Texas,0.082,2006.0,68,68.0,4.3,10.5,0.411,1.8,3.9,0.451,2.6,6.6,0.387,2.5,3.4,0.741,3.6,3.5,1.5,0.3,2.4,2.5,13.8,7.28
267,45,Alexander Johnson,Florida State,0.056,2006.0,92,73.0,3.3,6.4,0.52,3.2,6.0,0.535,0.1,0.4,0.308,3.0,4.5,0.667,5.2,0.7,0.9,0.7,2.6,2.9,9.8,7.38
