,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
107,25,Frank Williams,Illinois,0.003,2002.0,101,97.0,4.6,11.7,0.396,3.3,7.6,0.433,1.3,4.1,0.326,3.7,4.6,0.807,4.0,4.3,2.1,0.3,2.7,1.8,14.3,10.3
108,26,John Salmons,Miami (FL),0.069,2002.0,124,107.0,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,5.5,3.5,1.5,0.7,2.6,2.5,10.4,6.26
109,27,Chris Jefferies,Fresno State,-0.03,2002.0,54,54.0,5.3,12.2,0.432,3.4,6.9,0.497,1.8,5.2,0.346,3.9,5.9,0.664,5.4,2.3,1.4,1.0,2.6,2.5,16.2,
110,28,Dan Dickau,Gonzaga,0.061,2002.0,56,56.0,5.9,12.8,0.458,2.5,5.6,0.449,3.4,7.2,0.465,5.0,5.8,0.865,3.1,5.3,0.8,0.1,3.2,2.0,20.1,
111,30,Steve Logan,Cincinnati,,2002.0,135,106.0,4.7,10.9,0.435,2.8,5.9,0.483,1.9,5.1,0.378,3.3,3.8,0.861,2.2,3.4,0.7,0.0,1.7,1.7,14.7,7.75
112,31,Roger Mason,Virginia,0.068,2002.0,89,68.0,4.4,10.0,0.436,2.8,5.9,0.479,1.5,4.1,0.375,3.6,4.1,0.869,3.0,2.6,1.0,0.4,2.2,2.3,13.8,7.63
113,32,Robert Archibald,Illinois,-0.004,2002.0,130,61.0,2.0,3.5,0.57,2.0,3.5,0.571,0.0,0.0,0.0,2.2,3.2,0.681,4.1,0.8,0.5,0.6,1.6,3.0,6.2,10.7
114,33,Vincent Yarbrough,Tennessee,0.035,2002.0,127,125.0,4.8,11.0,0.44,3.4,6.8,0.5,1.4,4.1,0.34,2.6,3.8,0.687,6.8,2.3,1.7,1.0,2.2,1.9,13.7,8.98
115,34,Dan Gadzuric,UCLA,0.097,2002.0,122,102.0,4.5,8.2,0.548,4.5,8.2,0.549,0.0,0.0,0.0,1.6,3.5,0.449,6.6,0.6,0.7,1.5,1.8,2.8,10.5,10.45
116,35,Carlos Boozer,Duke,0.143,2002.0,101,93.0,5.5,8.7,0.631,5.5,8.7,0.632,0.0,0.0,0.0,3.9,5.3,0.741,7.2,1.1,1.0,0.7,1.6,2.9,14.9,10.01
117,38,Tito Maddox,Fresno State,-0.011,2002.0,25,24.0,4.4,11.2,0.391,3.6,8.4,0.427,0.8,2.8,0.286,3.9,5.5,0.703,5.8,8.0,1.6,0.2,5.2,2.7,13.5,5.13
118,39,Rod Grizzard,Alabama,,2002.0,100,94.0,5.0,12.4,0.402,3.3,6.9,0.48,1.7,5.5,0.304,3.2,4.1,0.785,5.8,1.7,1.1,1.0,2.4,2.3,14.9,7.19
119,43,Jason Jennings,Arkansas State University,,2002.0,59,58.0,5.6,10.3,0.547,5.6,10.3,0.547,0.0,0.0,,3.0,4.0,0.756,6.8,1.1,0.3,3.4,2.2,3.2,14.3,
120,44,Lonny Baxter,Maryland,0.075,2002.0,138,115.0,5.2,9.3,0.553,5.1,9.3,0.553,0.0,0.0,0.6,3.1,5.2,0.6,7.2,0.7,0.9,1.6,1.6,3.0,13.5,9.71
121,45,Sam Clancy,USC,,2002.0,113,102.0,5.6,11.3,0.495,5.6,11.3,0.495,0.0,0.0,0.4,3.5,5.6,0.617,7.4,1.2,1.2,1.7,1.7,2.6,14.7,8.89
122,46,Matt Barnes,UCLA,0.093,2002.0,121,66.0,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.566,4.8,2.0,1.0,0.4,2.0,2.2,8.8,10.45
123,47,Jamal Sampson,California,0.106,2002.0,32,31.0,2.4,5.7,0.426,2.4,5.7,0.426,0.0,0.0,,1.6,3.0,0.526,6.5,1.2,0.5,1.7,1.7,2.7,6.4,7.45
124,48,Chris Owens,Texas,-0.032,2002.0,78,61.0,4.5,9.7,0.467,4.4,9.1,0.483,0.1,0.6,0.217,3.3,5.4,0.618,6.9,0.7,1.0,2.0,1.7,2.9,12.5,
125,50,Darius Songaila,Wake Forest,0.083,2002.0,130,120.0,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0.343,4.4,5.3,0.831,6.3,1.8,1.1,0.7,2.8,3.3,14.3,9.46
126,52,Marcus Taylor,Michigan State,,2002.0,59,38.0,4.2,10.6,0.399,2.9,6.6,0.437,1.3,4.0,0.335,2.2,2.8,0.795,2.1,4.4,0.7,0.1,2.6,1.7,12.1,9.57
127,53,Rasual Butler,La Salle,0.058,2002.0,110,108.0,6.8,16.7,0.409,4.3,9.6,0.447,2.6,7.1,0.359,3.1,3.7,0.829,5.9,1.6,1.0,1.1,2.7,1.8,19.3,3.11
