,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
956,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0,Jahlil-Okafor
959,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4,Willie-Cauley-Stein
961,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,-2.7,-1.6,Stanley-Johnson
962,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,-0.2,3.7,Frank-Kaminsky
963,10,MIA,Justise Winslow,Duke,8,344,8905,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,-2.1,-0.3,Justise-Winslow
964,11,IND,Myles Turner,Texas,8,493,14204,6598,3345,602,0.498,0.353,0.771,28.8,13.4,6.8,1.2,38.2,0.129,0.8,10.1,Myles-Turner
965,12,UTA,Trey Lyles,Kentucky,8,523,9464,4065,2253,543,0.443,0.342,0.749,18.1,7.8,4.3,1,17,0.086,-1,2.3,Trey-Lyles
966,13,PHO,Devin Booker,Kentucky,8,530,17907,12688,2105,2521,0.461,0.356,0.868,33.8,23.9,4,4.8,35.9,0.096,0.9,13.1,Devin-Booker
967,14,OKC,Cameron Payne,Murray State,8,327,5962,2625,730,1119,0.42,0.363,0.816,18.2,8,2.2,3.4,9.3,0.075,-0.5,2.2,Cameron-Payne
968,15,ATL,Kelly Oubre Jr.,Kansas,8,527,13609,6741,2323,538,0.434,0.33,0.751,25.8,12.8,4.4,1,19.2,0.068,-1.7,0.9,Kelly-Oubre Jr.
969,16,BOS,Terry Rozier,Louisville,8,540,14659,7368,2125,1828,0.417,0.367,0.819,27.1,13.6,3.9,3.4,25.8,0.084,0.4,9,Terry-Rozier
970,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,Rashad-Vaughn
971,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5,Sam-Dekker
972,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,Jerian-Grant
973,20,TOR,Delon Wright,Utah,8,461,9798,3321,1498,1440,0.455,0.353,0.805,21.3,7.2,3.2,3.1,26.5,0.13,2.3,10.6,Delon-Wright
974,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4,Justin-Anderson
975,22,CHI,Bobby Portis,Arkansas,8,523,11655,6008,3667,642,0.474,0.381,0.754,22.3,11.5,7,1.2,26.4,0.109,-0.4,4.7,Bobby-Portis
976,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,Rondae-Hollis-Jefferson
977,24,CLE,Tyus Jones,Duke,8,535,10317,3630,999,2108,0.436,0.357,0.814,19.3,6.8,1.9,3.9,25,0.116,0.6,6.8,Tyus-Jones
978,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,Jarell-Martin
980,27,LAL,Larry Nance Jr.,Wyoming,8,461,10908,3651,2931,866,0.537,0.333,0.689,23.7,7.9,6.4,1.9,29.3,0.129,1.1,8.6,Larry-Nance Jr.
981,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0,R.J.-Hunter
982,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,Chris-McCullough
