,Player,FNAME
646,Isaac Okoro,Isaac-Okoro
647,Onyeka Okongwu,Onyeka-Okongwu
648,Jalen Smith,Jalen-Smith
649,Devin Vassell,Devin-Vassell
650,Tyrese Haliburton,Tyrese-Haliburton
651,Aaron Nesmith,Aaron-Nesmith
652,Cole Anthony,Cole-Anthony
653,Saddiq Bey,Saddiq-Bey
654,Precious Achiuwa,Precious-Achiuwa
655,Tyrese Maxey,Tyrese-Maxey
656,Zeke Nnaji,Zeke-Nnaji
657,Immanuel Quickley,Immanuel-Quickley
658,Payton Pritchard,Payton-Pritchard
659,Jaden McDaniels,Jaden-McDaniels
660,Desmond Bane,Desmond-Bane
661,Tyrell Terry,Tyrell-Terry
662,Daniel Oturu,Daniel-Oturu
663,Xavier Tillman Sr.,Xavier-Tillman Sr.
664,Tyler Bey,Tyler-Bey
665,Saben Lee,Saben-Lee
666,Tre Jones,Tre-Jones
667,Jordan Nwora,Jordan-Nwora
668,CJ Elleby,CJ-Elleby
669,Nico Mannion,Nico-Mannion
670,Isaiah Joe,Isaiah-Joe
671,Skylar Mays,Skylar-Mays
672,Cassius Winston,Cassius-Winston
673,Cassius Stanley,Cassius-Stanley
674,Grant Riller,Grant-Riller
675,Jalen Harris,Jalen-Harris
676,Sam Merrill,Sam-Merrill
677,Cade Cunningham,Cade-Cunningham
678,Evan Mobley,Evan-Mobley
679,Scottie Barnes,Scottie-Barnes
680,Jalen Suggs,Jalen-Suggs
681,Franz Wagner,Franz-Wagner
682,Ziaire Williams,Ziaire-Williams
683,James Bouknight,James-Bouknight
684,Joshua Primo,Joshua-Primo
685,Chris Duarte,Chris-Duarte
686,Moses Moody,Moses-Moody
687,Corey Kispert,Corey-Kispert
688,Tre Mann,Tre-Mann
689,Kai Jones,Kai-Jones
690,Keon Johnson,Keon-Johnson
691,Isaiah Jackson,Isaiah-Jackson
692,Josh Christopher,Josh-Christopher
693,Jaden Springer,Jaden-Springer
694,Santi Aldama,Santi-Aldama
695,Jeremiah Robinson-Earl,Jeremiah-Robinson-Earl
696,Jason Preston,Jason-Preston
697,Herbert Jones,Herbert-Jones
698,Miles McBride,Miles-McBride
699,JT Thor,JT-Thor
700,Ayo Dosunmu,Ayo-Dosunmu
